episode,team_id,team_name,value_pick,synergy,late_bonus,panic_penalty,block_reward,waste_penalty,balance_bonus,season_total,transfer_total,TOTAL,budget_wasted_cr,final_position,squad_balance_score
0,MI,MI,1603.2081,546.0,0.0,0.0,210.0,0.0,15.0,85.0,0.0,2459.2081,42.3,7,1.0
0,CSK,CSK,1616.8517,570.0,0.0,0.0,190.0,0.0,15.0,315.0,0.0,2706.8517,43.9,1,1.0
0,RCB,RCB,1213.2647,501.0,0.0,0.0,180.0,0.0,15.0,150.0,0.0,2059.2647,36.9,3,0.875
0,KKR,KKR,1576.4172,663.0,0.0,0.0,230.0,0.0,15.0,150.0,0.0,2634.4172,43.6,4,1.0
0,DC,DC,1650.8934,654.0,0.0,0.0,240.0,0.0,15.0,200.0,0.0,2759.8934,37.6,2,1.0
0,RR,RR,1652.3943,606.0,0.0,0.0,250.0,0.0,15.0,120.0,0.0,2643.3943,44.6,6,1.0
0,PBKS,PBKS,528.3919,75.0,0.0,0.0,80.0,-10.0,-5.0,120.0,0.0,788.3919,67.7,5,0.8125
0,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,-20.0,0.0,-35.0,83.4,8,0.5
1,MI,MI,1377.8613,579.0,0.0,0.0,210.0,0.0,15.0,105.0,0.0,2286.8613,46.1,6,1.0
1,CSK,CSK,1586.6608,582.0,0.0,0.0,170.0,0.0,15.0,105.0,0.0,2458.6608,42.7,5,1.0
1,RCB,RCB,1123.9271,471.0,0.0,0.0,180.0,0.0,-5.0,245.0,0.0,2014.9271,38.3,1,0.9375
1,KKR,KKR,1219.0462,420.0,0.0,0.0,200.0,0.0,15.0,70.0,0.0,1924.0462,38.5,7,1.0
1,DC,DC,1226.0333,354.0,0.0,0.0,150.0,0.0,15.0,165.0,0.0,1910.0333,51.9,3,1.0
1,RR,RR,1179.646,540.0,0.0,0.0,220.0,0.0,15.0,315.0,0.0,2269.646,36.1,2,1.0
